,date,state,abbrev,population,positive,active,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,lastUpdateEt,death,hospitalized,bedsPerThousand,total_beds
0,2020-05-18,Alaska,AK,734002,399.0,378.0,9.0,,,,345.0,B,5/18/2020 00:00,10.0,,2.2,1614.8044
1,2020-05-18,Alabama,AL,4908621,12086.0,11597.0,,1416.0,,,0.0,B,5/18/2020 00:00,489.0,1416.0,3.1,15216.725100000001
2,2020-05-18,Arkansas,AR,3038999,4813.0,4661.0,77.0,530.0,,12.0,3645.0,A,5/18/2020 00:00,100.0,530.0,3.2,9724.7968
3,2020-05-18,Arizona,AZ,7378494,14170.0,13265.0,820.0,1717.0,329.0,200.0,3570.0,A+,5/18/2020 00:00,686.0,1717.0,1.9,14019.138599999998
4,2020-05-18,California,CA,39937489,80430.0,77128.0,4391.0,,1325.0,,0.0,B,5/17/2020 00:00,3302.0,,1.8,71887.4802
5,2020-05-18,Colorado,CO,5845526,21938.0,20723.0,650.0,3872.0,,,3346.0,A,5/18/2020 00:00,1215.0,3872.0,1.9,11106.499399999999
6,2020-05-18,Connecticut,CT,3563077,38116.0,34011.0,920.0,10946.0,,,6264.0,B,5/17/2020 20:30,3449.0,10946.0,2.0,7126.154
7,2020-05-18,District of Columbia,DC,720687,7270.0,6740.0,374.0,,,70.0,1028.0,A,5/17/2020 00:00,392.0,,4.4,3171.0228
8,2020-05-18,Delaware,DE,982895,7869.0,7380.0,240.0,,,,3545.0,B,5/17/2020 18:00,297.0,,2.2,2162.369
9,2020-05-18,Florida,FL,21992985,46442.0,44369.0,472.0,8553.0,232.0,,0.0,A+,5/18/2020 09:28,2073.0,8553.0,2.6,57181.761000000006
10,2020-05-18,Georgia,GA,10736059,38081.0,36439.0,1025.0,6916.0,,,0.0,A+,5/18/2020 13:00,1642.0,6916.0,2.4,25766.541599999997
11,2020-05-18,Hawaii,HI,1412687,640.0,623.0,,82.0,,,573.0,B,5/17/2020 00:00,17.0,82.0,1.9,2684.1052999999997
12,2020-05-18,Iowa,IA,3179849,14955.0,14300.0,382.0,,121.0,85.0,7324.0,A+,5/17/2020 13:00,355.0,,3.0,9539.547
13,2020-05-18,Idaho,ID,1826156,2419.0,2346.0,,213.0,,,1612.0,B,5/16/2020 19:00,73.0,213.0,1.9,3469.6964
14,2020-05-18,Illinois,IL,12659682,96485.0,92251.0,4120.0,,1096.0,636.0,0.0,A,5/18/2020 00:59,4234.0,,2.5,31649.205
15,2020-05-18,Indiana,IN,6745354,28255.0,26490.0,1244.0,4389.0,426.0,212.0,0.0,A+,5/17/2020 23:59,1765.0,4389.0,2.7,18212.455800000003
16,2020-05-18,Kansas,KS,2910357,8340.0,7758.0,,740.0,,,465.0,A,5/18/2020 10:00,173.0,740.0,3.3,9604.1781
17,2020-05-18,Kentucky,KY,4499692,7688.0,7354.0,381.0,1896.0,218.0,,2768.0,A+,5/16/2020 17:19,334.0,1896.0,3.2,14399.0144
18,2020-05-18,Louisiana,LA,4645184,34709.0,31941.0,1031.0,,,118.0,26249.0,B,5/18/2020 13:00,2563.0,,3.3,15329.1072
19,2020-05-18,Massachusetts,MA,6976597,86010.0,80213.0,2597.0,8539.0,702.0,,0.0,A+,5/17/2020 10:00,5797.0,8539.0,2.3,16046.173099999998
20,2020-05-18,Maryland,MD,6083116,39762.0,36812.0,1447.0,7086.0,555.0,,2817.0,,5/18/2020 10:00,2023.0,7086.0,1.9,11557.920399999999
21,2020-05-18,Maine,ME,1345790,1713.0,1617.0,42.0,223.0,16.0,10.0,1053.0,B,5/18/2020 12:15,71.0,223.0,2.5,3364.475
